Az (Rot),El (Rot),Time
172.8300018,82.51999664,11:54:33
173.4100037,82.52999878,11:54:34
173.7100067,82.52999878,11:54:35
174.2899933,82.54000092,11:54:36
174.5899963,82.54000092,11:54:37
175.1699982,82.55000305,11:54:38
175.7700043,82.55000305,11:54:39
176.0700073,82.55999756,11:54:40
176.6499939,82.55999756,11:54:41
176.9499969,82.55999756,11:54:42
177.5299988,82.56999969,11:54:43
178.1399994,82.56999969,11:54:44
178.4199982,82.56999969,11:54:45
179.0299988,82.56999969,11:54:46
179.3099976,82.56999969,11:54:47
179.8999939,82.56999969,11:54:48
180.3999939,82.56999969,11:54:49
180.6900024,82.56999969,11:54:50
181.3000031,82.56999969,11:54:51
181.5800018,82.56999969,11:54:52
182.1600037,82.56999969,11:54:53
182.7700043,82.55999756,11:54:54
183.0500031,82.55999756,11:54:55
183.6499939,82.55999756,11:54:56
183.9299927,82.55999756,11:54:57
184.4900055,82.55000305,11:54:58
185.0399933,82.54000092,11:54:59
185.2899933,82.54000092,11:55:00
185.7599945,82.54000092,11:55:01
185.9700012,82.52999878,11:55:02
186.3600006,82.52999878,11:55:03
186.7200012,82.51999664,11:55:04
186.8899994,82.51999664,11:55:05
187.2200012,82.51000214,11:55:06
187.3800049,82.51000214,11:55:07
187.6600037,82.51000214,11:55:08
187.9299927,82.5,11:55:09
188.0599976,82.5,11:55:10
188.2899933,82.5,11:55:11
188.3999939,82.48999786,11:55:12
188.6100006,82.48999786,11:55:13
188.8000031,82.48999786,11:55:14
188.8899994,82.48000336,11:55:15
189.0700073,82.48000336,11:55:16
189.1399994,82.48000336,11:55:17
189.2899933,82.48000336,11:55:18
189.4400024,82.47000122,11:55:19
189.5,82.47000122,11:55:20
189.6300049,82.47000122,11:55:21
189.75,82.47000122,11:55:22
189.8000031,82.47000122,11:55:23
189.9100037,82.45999908,11:55:24
189.9600067,82.45999908,11:55:25
190.0599976,82.45999908,11:55:26
190.1100006,82.45999908,11:55:27
190.2100067,82.45999908,11:55:28
190.2899933,82.45999908,11:55:29
190.3300018,82.44999695,11:55:30
190.4100037,82.44999695,11:55:31
190.4499969,82.44999695,11:55:32
190.5200043,82.44999695,11:55:33
190.5899963,82.44999695,11:55:34
190.6300049,82.44999695,11:55:35
190.6900024,82.44999695,11:55:36
190.7200012,82.44999695,11:55:37
190.7799988,82.44000244,11:55:38
190.8399963,82.44000244,11:55:39
190.8699951,82.44000244,11:55:40
190.9299927,82.44000244,11:55:41
190.9499969,82.44000244,11:55:42
191.0099945,82.44000244,11:55:43
191.0500031,82.44000244,11:55:44
191.0800018,82.44000244,11:55:45
191.1300049,82.44000244,11:55:46
191.1600037,82.44000244,11:55:47
191.1999969,82.44000244,11:55:48
191.25,82.43000031,11:55:49
191.2700043,82.43000031,11:55:50
191.3200073,82.43000031,11:55:51
191.3399963,82.43000031,11:55:52
191.3800049,82.43000031,11:55:53
191.4199982,82.43000031,11:55:54
191.4499969,82.43000031,11:55:55
191.4900055,82.43000031,11:55:56
191.5099945,82.43000031,11:55:57
191.5500031,82.43000031,11:55:58
191.5899963,82.43000031,11:55:59
191.6100006,82.43000031,11:56:00
191.6600037,82.43000031,11:56:01
191.6799927,82.41999817,11:56:02
191.7100067,82.41999817,11:56:03
191.75,82.41999817,11:56:04
191.7700043,82.41999817,11:56:05
191.8000031,82.41999817,11:56:06
191.8300018,82.41999817,11:56:07
191.8600006,82.41999817,11:56:08
191.8999939,82.41999817,11:56:09
191.9199982,82.41999817,11:56:10
191.9499969,82.41999817,11:56:11
191.9700012,82.41999817,11:56:12
192.0099945,82.41999817,11:56:13
192.0500031,82.41999817,11:56:14
192.0700073,82.41999817,11:56:15
192.1000061,82.41999817,11:56:16
192.1199951,82.41999817,11:56:17
192.1499939,82.41000366,11:56:18
192.1900024,82.41000366,11:56:19
192.2100067,82.41000366,11:56:20
192.2400055,82.41000366,11:56:21
192.2599945,82.41000366,11:56:22
192.3000031,82.41000366,11:56:23
192.3300018,82.41000366,11:56:24
192.3500061,82.41000366,11:56:25
192.3899994,82.41000366,11:56:26
192.3999939,82.41000366,11:56:27
192.4299927,82.41000366,11:56:28
192.4700012,82.41000366,11:56:29
192.4900055,82.41000366,11:56:30
192.5299988,82.41000366,11:56:31
192.5399933,82.41000366,11:56:32
192.5700073,82.40000153,11:56:33
192.6000061,82.40000153,11:56:34
192.6300049,82.40000153,11:56:35
192.6699982,82.38999939,11:56:36
192.6699982,82.37999725,11:56:37
192.6399994,82.33999634,11:56:38
192.6199951,82.30000305,11:56:39
192.6100006,82.27999878,11:56:40
192.5899963,82.25,11:56:41
192.5800018,82.23000336,11:56:42
192.5599976,82.19999695,11:56:43
192.5599976,82.16999817,11:56:44
192.5599976,82.16000366,11:56:45
192.5599976,82.12000275,11:56:46
192.5599976,82.09999847,11:56:47
192.5700073,82.08000183,11:56:48
192.5700073,82.06999969,11:56:49
192.5800018,82.05999756,11:56:51
192.5899963,82.05000305,11:56:52
192.6000061,82.02999878,11:56:53
192.6100006,82.01999664,11:56:54
192.6199951,82.01000214,11:56:55
192.6399994,82,11:56:56
192.6499939,82,11:56:57
192.6699982,81.98999786,11:56:58
192.6900024,81.98000336,11:56:59
192.6999969,81.97000122,11:57:00
192.7299957,81.95999908,11:57:01
192.7400055,81.95999908,11:57:02
192.7599945,81.94999695,11:57:03
192.7799988,81.94999695,11:57:04
192.8000031,81.94000244,11:57:05
192.8200073,81.94000244,11:57:06
192.8399963,81.94000244,11:57:07
192.8699951,81.93000031,11:57:08
192.8899994,81.93000031,11:57:09
192.8999939,81.91999817,11:57:10
192.9299927,81.91999817,11:57:11
192.9400024,81.91999817,11:57:12
192.9799957,81.91999817,11:57:13
193.0099945,81.91000366,11:57:14
193.0200043,81.91000366,11:57:15
193.0500031,81.91000366,11:57:16
193.0599976,81.91000366,11:57:17
193.0899963,81.90000153,11:57:18
193.1199951,81.90000153,11:57:19
193.1399994,81.90000153,11:57:20
193.1699982,81.90000153,11:57:21
193.1799927,81.90000153,11:57:22
193.2100067,81.88999939,11:57:23
193.2299957,81.88999939,11:57:24
193.2400055,81.88999939,11:57:25
193.2799988,81.88999939,11:57:26
193.3000031,81.88999939,11:57:27
193.3300018,81.88999939,11:57:28
193.3600006,81.87999725,11:57:29
193.3699951,81.87999725,11:57:30
193.4100037,81.87999725,11:57:31
193.4199982,81.87999725,11:57:32
193.4600067,81.87999725,11:57:33
193.4900055,81.87999725,11:57:34
193.5,81.87999725,11:57:35
193.5399933,81.87999725,11:57:36
193.5500031,81.87000275,11:57:37
193.5899963,81.87000275,11:57:38
193.6199951,81.87000275,11:57:39
193.6399994,81.87000275,11:57:40
193.6600037,81.87000275,11:57:41
193.6799927,81.87000275,11:57:42
193.7200012,81.87000275,11:57:43
193.75,81.87000275,11:57:44
193.7700043,81.87000275,11:57:45
193.7899933,81.86000061,11:57:46
193.8099976,81.86000061,11:57:47
193.8399963,81.86000061,11:57:48
193.8800049,81.86000061,11:57:49
193.8899994,81.86000061,11:57:50
193.9199982,81.86000061,11:57:51
193.9400024,81.86000061,11:57:52
193.9700012,81.86000061,11:57:53
194.0099945,81.86000061,11:57:54
194.0200043,81.86000061,11:57:55
194.0500031,81.86000061,11:57:56
194.0700073,81.84999847,11:57:57
194.1000061,81.84999847,11:57:58
194.1300049,81.84999847,11:57:59
194.1499939,81.84999847,11:58:00
194.1799927,81.84999847,11:58:01
194.1999969,81.84999847,11:58:02
194.2299957,81.84999847,11:58:03
194.2599945,81.84999847,11:58:04
194.2700043,81.84999847,11:58:05
194.3099976,81.84999847,11:58:06
194.3300018,81.84999847,11:58:07
194.3500061,81.83999634,11:58:08
194.3899994,81.83999634,11:58:09
194.3999939,81.83999634,11:58:10
194.4400024,81.83999634,11:58:11
194.4499969,81.83999634,11:58:12
194.4799957,81.83999634,11:58:13
194.5099945,81.83999634,11:58:14
194.5299988,81.83999634,11:58:15
194.5599976,81.83999634,11:58:16
194.5800018,81.83999634,11:58:17
194.6100006,81.83999634,11:58:18
194.6399994,81.83000183,11:58:19
194.6499939,81.83000183,11:58:20
194.6900024,81.83000183,11:58:21
194.7100067,81.83000183,11:58:22
194.7400055,81.83000183,11:58:23
194.7599945,81.83000183,11:58:24
194.7799988,81.83000183,11:58:25
194.8099976,81.83000183,11:58:26
194.8300018,81.83000183,11:58:27
194.8600006,81.83000183,11:58:28
194.8899994,81.81999969,11:58:29
194.9100037,81.81999969,11:58:30
194.9400024,81.81999969,11:58:31
194.9600067,81.81999969,11:58:32
194.9900055,81.81999969,11:58:33
195.0200043,81.81999969,11:58:34
195.0399933,81.81999969,11:58:35
195.0700073,81.81999969,11:58:36
195.0800018,81.81999969,11:58:37
195.1199951,81.81999969,11:58:38
195.1499939,81.81999969,11:58:39
195.1600037,81.80999756,11:58:40
195.1999969,81.80999756,11:58:41
195.2100067,81.80999756,11:58:42
195.25,81.80999756,11:58:43
195.2700043,81.80999756,11:58:44
195.2899933,81.80999756,11:58:45
195.3200073,81.80999756,11:58:46
195.3399963,81.80999756,11:58:47
195.3699951,81.80999756,11:58:48
195.4100037,81.80999756,11:58:49
195.4199982,81.80000305,11:58:50
195.4499969,81.80000305,11:58:51
195.4700012,81.80000305,11:58:52
195.5,81.80000305,11:58:53
195.5299988,81.80000305,11:58:54
195.5500031,81.80000305,11:58:55
195.5800018,81.80000305,11:58:56
195.5899963,81.80000305,11:58:57
195.6300049,81.80000305,11:58:58
195.6499939,81.80000305,11:58:59
195.6699982,81.80000305,11:59:00
195.6999969,81.79000092,11:59:01
195.7200012,81.79000092,11:59:02
195.75,81.79000092,11:59:03
195.7799988,81.79000092,11:59:04
