Date,Time,Power (FFT),Power (dBFS),Power (dBm),Tsys (K),Tsys0 (K),Tsource (K),Tb (K),Tsky (K),Sν (Jy),σTsys (K),σSsys (Jy),ΩA (sr),ΩS (sr),RA,Dec,l,b,Az,El,Vbcrs,Vlsr,Solar Flux (Jy),Air Temp (C),Sensor 1,Sensor 2,UTC,Az (Rot),El (Rot),Az Off (Rot),El Off (Rot),
2026-07-10,11:38:19.437,4.064240783918649e-05,-43.91020584106445,-118.64862823486328,386.2012939453125,336.33001708984375,49.87127685546875,,3.0992629528045654,462.8875427246094,0.8735536932945251,8.108016014099121,6.088603549869731e-05,0,5.50166654586792,29.748611450195312,177.5707244873047,-2.421769142150879,156.72598266601562,84.12034606933594,12.149059295654297,2.2372074127197266,0,10,0,0,2026-07-10T15:38:19.437Z,144.0500030517578,83.37999725341797,0,0,
2026-07-10,11:38:20.446,4.020008782390505e-05,-43.95772933959961,-118.69646453857422,381.97064208984375,336.33001708984375,45.640625,,3.0992629528045654,423.6201171875,0.8639843463897705,8.019196510314941,6.088603549869731e-05,0,5.50166654586792,29.748611450195312,177.5707244873047,-2.421769142150879,156.7588348388672,84.12169647216797,12.149040222167969,2.2371883392333984,0,10,0,0,2026-07-10T15:38:20.446Z,144.32000732421875,83.4000015258789,0,0,
2026-07-10,11:38:21.452,4.06076323997695e-05,-43.91392517089844,-118.65139770507812,385.9555969238281,336.33001708984375,49.625579833984375,,3.0992629528045654,460.6070556640625,0.8729979395866394,8.10285758972168,6.088603549869731e-05,0,5.50166654586792,29.748611450195312,177.5707244873047,-2.421769142150879,156.79171752929688,84.12303924560547,12.149020195007324,2.237168312072754,0,10,0,0,2026-07-10T15:38:21.452Z,144.86000061035156,83.44000244140625,0,0,
2026-07-10,11:38:22.451,4.027691829833202e-05,-43.94943618774414,-118.68386840820312,383.080078125,336.33001708984375,46.75006103515625,,3.0992629528045654,433.91754150390625,0.8664937615394592,8.042488098144531,6.088603549869731e-05,0,5.50166654586792,29.748611450195312,177.5707244873047,-2.421769142150879,156.82460021972656,84.12438201904297,12.149002075195312,2.237150192260742,0,10,0,0,2026-07-10T15:38:22.451Z,145.39999389648438,83.4800033569336,0,0,
2026-07-10,11:38:23.456,4.0672020986676216e-05,-43.90704345703125,-118.6433334350586,386.6727294921875,336.33001708984375,50.34271240234375,,3.0992629528045654,467.26324462890625,0.8746200203895569,8.117913246154785,6.088603549869731e-05,0,5.50166654586792,29.748611450195312,177.5707244873047,-2.421769142150879,156.8574981689453,84.12572479248047,12.148983001708984,2.237131118774414,0,10,0,0,2026-07-10T15:38:23.456Z,145.69000244140625,83.5,0,0,
2026-07-10,11:38:24.472,4.064504901180044e-05,-43.9099235534668,-118.6489028930664,386.1769104003906,336.33001708984375,49.846893310546875,,3.0992629528045654,462.6612243652344,0.8734985589981079,8.107503890991211,6.088603549869731e-05,0,5.50166654586792,29.748611450195312,177.5707244873047,-2.421769142150879,156.8904266357422,84.12706756591797,12.148964881896973,2.2371129989624023,0,10,0,0,2026-07-10T15:38:24.472Z,146.25,83.54000091552734,0,0,
2026-07-10,11:38:25.475,4.0482897020410746e-05,-43.927284240722656,-118.66374969482422,384.8588562011719,336.33001708984375,48.528839111328125,,3.0992629528045654,450.4275207519531,0.8705171942710876,8.079832077026367,6.088603549869731e-05,0,5.50166654586792,29.748611450195312,177.5707244873047,-2.421769142150879,156.92335510253906,84.12840270996094,12.148944854736328,2.237092971801758,0,10,0,0,2026-07-10T15:38:25.475Z,146.5399932861328,83.55999755859375,0,0,
2026-07-10,11:38:26.475,4.052602162119001e-05,-43.92266082763672,-118.65850830078125,385.323974609375,336.33001708984375,48.99395751953125,,3.0992629528045654,454.74456787109375,0.8715692758560181,8.089597702026367,6.088603549869731e-05,0,5.50166654586792,29.748611450195312,177.5707244873047,-2.421769142150879,156.956298828125,84.12974548339844,12.148926734924316,2.237074851989746,0,10,0,0,2026-07-10T15:38:26.475Z,147.7100067138672,83.62999725341797,0,0,
2026-07-10,11:38:27.477,4.020116102765314e-05,-43.95761489868164,-118.6954345703125,382.06158447265625,336.33001708984375,45.7315673828125,,3.0992629528045654,424.4642028808594,0.8641900420188904,8.021105766296387,6.088603549869731e-05,0,5.50166654586792,29.748611450195312,177.5707244873047,-2.421769142150879,156.98927307128906,84.1310806274414,12.148907661437988,2.237055778503418,0,10,0,0,2026-07-10T15:38:27.477Z,147.99000549316406,83.6500015258789,0,0,
2026-07-10,11:38:28.488,4.0531620470574126e-05,-43.922061920166016,-118.65853881835938,385.32147216796875,336.33001708984375,48.991455078125,,3.0992629528045654,454.72137451171875,0.8715636134147644,8.089545249938965,6.088603549869731e-05,0,5.50166654586792,29.748611450195312,177.5707244873047,-2.421769142150879,157.02224731445312,84.13240814208984,12.148889541625977,2.2370376586914062,0,10,0,0,2026-07-10T15:38:28.488Z,148.58999633789062,83.69000244140625,0,0,
2026-07-10,11:38:29.508,4.080266080563888e-05,-43.89311599731445,-118.62813568115234,388.028076171875,336.33001708984375,51.69805908203125,,3.0992629528045654,479.84307861328125,0.8776857256889343,8.146368026733398,6.088603549869731e-05,0,5.50166654586792,29.748611450195312,177.5707244873047,-2.421769142150879,157.05523681640625,84.13374328613281,12.148869514465332,2.2370176315307617,0,10,0,0,2026-07-10T15:38:29.508Z,148.8699951171875,83.70999908447266,0,0,
2026-07-10,11:38:30.506,4.0648530557518825e-05,-43.90955352783203,-118.64480590820312,386.5414733886719,336.33001708984375,50.211456298828125,,3.0992629528045654,466.0449523925781,0.8743231296539307,8.115158081054688,6.088603549869731e-05,0,5.50166654586792,29.748611450195312,177.5707244873047,-2.421769142150879,157.08824157714844,84.13507080078125,12.14885139465332,2.23699951171875,0,10,0,0,2026-07-10T15:38:30.506Z,149.47000122070312,83.73999786376953,0,0,
2026-07-10,11:38:31.505,4.015090598841198e-05,-43.96304702758789,-118.70147705078125,381.53033447265625,336.33001708984375,45.2003173828125,,3.0992629528045654,419.5333557128906,0.8629884123802185,8.009952545166016,6.088603549869731e-05,0,5.50166654586792,29.748611450195312,177.5707244873047,-2.421769142150879,157.1212615966797,84.13639831542969,12.148832321166992,2.236980438232422,0,10,0,0,2026-07-10T15:38:31.505Z,150.10000610351562,83.77999877929688,0,0,
2026-07-10,11:38:32.523,3.963512790505774e-05,-44.01919937133789,-118.75656127929688,376.7214050292969,336.33001708984375,40.391387939453125,,3.0992629528045654,374.8985900878906,0.8521109819412231,7.908992767333984,6.088603549869731e-05,0,5.50166654586792,29.748611450195312,177.5707244873047,-2.421769142150879,157.154296875,84.13772583007812,12.14881420135498,2.23696231842041,0,10,0,0,2026-07-10T15:38:32.523Z,150.4199981689453,83.80000305175781,0,0,
2026-07-10,11:38:33.543,3.9908198232296854e-05,-43.9893798828125,-118.72528839111328,379.4442138671875,336.33001708984375,43.11419677734375,,3.0992629528045654,400.17071533203125,0.8582697510719299,7.966156005859375,6.088603549869731e-05,0,5.50166654586792,29.748611450195312,177.5707244873047,-2.421769142150879,157.18734741210938,84.13905334472656,12.148795127868652,2.236943244934082,0,10,0,0,2026-07-10T15:38:33.543Z,151,83.83000183105469,0,0,
2026-07-10,11:38:34.541,4.030275886179879e-05,-43.946651458740234,-118.68456268310547,383.01885986328125,336.33001708984375,46.6888427734375,,3.0992629528045654,433.34930419921875,0.866355299949646,8.041203498840332,6.088603549869731e-05,0,5.50166654586792,29.748611450195312,177.5707244873047,-2.421769142150879,157.22039794921875,84.14037322998047,12.148776054382324,2.236924171447754,0,10,0,0,2026-07-10T15:38:34.541Z,151.2899932861328,83.8499984741211,0,0,
2026-07-10,11:38:35.542,4.04353195335716e-05,-43.93239212036133,-118.67120361328125,384.1994323730469,336.33001708984375,47.869415283203125,,3.0992629528045654,444.3069763183594,0.8690256476402283,8.065988540649414,6.088603549869731e-05,0,5.50166654586792,29.748611450195312,177.5707244873047,-2.421769142150879,157.25347900390625,84.14169311523438,12.148756980895996,2.236905097961426,0,10,0,0,2026-07-10T15:38:35.542Z,151.80999755859375,83.87000274658203,0,0,
2026-07-10,11:38:36.559,4.0282466216012836e-05,-43.9488410949707,-118.68793487548828,382.7217712402344,336.33001708984375,46.391754150390625,,3.0992629528045654,430.59185791015625,0.8656833171844482,8.034966468811035,6.088603549869731e-05,0,5.50166654586792,29.748611450195312,177.5707244873047,-2.421769142150879,157.2865753173828,84.14301300048828,12.148738861083984,2.236886978149414,0,10,0,0,2026-07-10T15:38:36.559Z,152.3000030517578,83.9000015258789,0,0,
2026-07-10,11:38:37.573,4.016443563159555e-05,-43.96158218383789,-118.69764709472656,381.8670959472656,336.33001708984375,45.537078857421875,,3.0992629528045654,422.6590576171875,0.8637501001358032,8.017023086547852,6.088603549869731e-05,0,5.50166654586792,29.748611450195312,177.5707244873047,-2.421769142150879,157.31968688964844,84.14432525634766,12.148719787597656,2.236867904663086,0,10,0,0,2026-07-10T15:38:37.573Z,152.52999877929688,83.91000366210938,0,0,
2026-07-10,11:38:38.576,4.081201768713072e-05,-43.892120361328125,-118.62744903564453,388.08941650390625,336.33001708984375,51.7593994140625,,3.0992629528045654,480.4124450683594,0.8778244256973267,8.147655487060547,6.088603549869731e-05,0,5.50166654586792,29.748611450195312,177.5707244873047,-2.421769142150879,157.35279846191406,84.14564514160156,12.148699760437012,2.2368478775024414,0,10,0,0,2026-07-10T15:38:38.576Z,152.97999572753906,83.93000030517578,0,0,
2026-07-10,11:38:39.575,4.055958197568543e-05,-43.919063568115234,-118.65574645996094,385.5688781738281,336.33001708984375,49.238861083984375,,3.0992629528045654,457.0177001953125,0.8721232414245605,8.094738960266113,6.088603549869731e-05,0,5.50166654586792,29.748611450195312,177.5707244873047,-2.421769142150879,157.3859405517578,84.14695739746094,12.148681640625,2.2368297576904297,0,10,0,0,2026-07-10T15:38:39.575Z,153.19000244140625,83.94000244140625,0,0,
2026-07-10,11:38:40.585,4.031701973872259e-05,-43.94511413574219,-118.67993927001953,383.4269104003906,336.33001708984375,47.096893310546875,,3.0992629528045654,437.13671875,0.8672782778739929,8.04977035522461,6.088603549869731e-05,0,5.50166654586792,29.748611450195312,177.5707244873047,-2.421769142150879,157.41908264160156,84.14826965332031,12.148662567138672,2.2368106842041016,0,10,0,0,2026-07-10T15:38:40.585Z,153.5800018310547,83.95999908447266,0,0,
